date,posts,cumulative_posts,platform,topic
2022-11-25,60,60,fb,gpt3
2022-11-26,49,109,fb,gpt3
2022-11-27,67,176,fb,gpt3
2022-11-28,155,331,fb,gpt3
2022-11-29,84,415,fb,gpt3
2022-11-30,111,526,fb,gpt3
2022-12-01,128,654,fb,gpt3
2022-12-02,195,849,fb,gpt3
2022-12-03,180,1029,fb,gpt3
2022-12-04,212,1241,fb,gpt3
2022-12-05,274,1515,fb,gpt3
2022-12-06,442,1957,fb,gpt3
2022-12-07,361,2318,fb,gpt3
2022-12-08,436,2754,fb,gpt3
2022-12-09,452,3206,fb,gpt3
2022-12-10,432,3638,fb,gpt3
2022-12-11,366,4004,fb,gpt3
2022-12-12,443,4447,fb,gpt3
2022-12-13,442,4889,fb,gpt3
2022-12-14,470,5359,fb,gpt3
2022-12-15,405,5764,fb,gpt3
2022-12-16,417,6181,fb,gpt3
2022-12-17,308,6489,fb,gpt3
2022-12-18,308,6797,fb,gpt3
2022-12-19,410,7207,fb,gpt3
2022-12-20,357,7564,fb,gpt3
2022-12-21,426,7990,fb,gpt3
2022-12-22,463,8453,fb,gpt3
2022-12-23,346,8799,fb,gpt3
2022-12-24,332,9131,fb,gpt3
2022-12-25,199,9330,fb,gpt3
2022-12-26,307,9637,fb,gpt3
2022-12-27,286,9923,fb,gpt3
2022-12-28,332,10255,fb,gpt3
2022-12-29,320,10575,fb,gpt3
2022-12-30,331,10906,fb,gpt3
2022-12-31,305,11211,fb,gpt3
2023-01-01,309,11520,fb,gpt3
2023-01-02,370,11890,fb,gpt3
2023-01-03,480,12370,fb,gpt3
2023-01-04,613,12983,fb,gpt3
2023-01-05,582,13565,fb,gpt3
2023-01-06,708,14273,fb,gpt3
2023-01-07,573,14846,fb,gpt3
2023-01-08,481,15327,fb,gpt3
2023-01-09,816,16143,fb,gpt3
2023-01-10,890,17033,fb,gpt3
2023-01-11,838,17871,fb,gpt3
2023-01-12,846,18717,fb,gpt3
2023-01-13,800,19517,fb,gpt3
2023-01-14,736,20253,fb,gpt3
2023-01-15,641,20894,fb,gpt3
2023-01-16,921,21815,fb,gpt3
2023-01-17,1201,23016,fb,gpt3
2023-01-18,1114,24130,fb,gpt3
2023-01-19,1098,25228,fb,gpt3
2023-01-20,1042,26270,fb,gpt3
2023-01-21,826,27096,fb,gpt3
2023-01-22,779,27875,fb,gpt3
2023-01-23,1268,29143,fb,gpt3
2023-01-24,1423,30566,fb,gpt3
2023-01-25,1240,31806,fb,gpt3
2023-01-26,1246,33052,fb,gpt3
2023-01-27,1327,34379,fb,gpt3
2023-01-28,902,35281,fb,gpt3
2023-01-29,960,36241,fb,gpt3
2023-01-30,1397,37638,fb,gpt3
2023-01-31,1431,39069,fb,gpt3
2023-02-01,1649,40718,fb,gpt3
2023-02-02,1652,42370,fb,gpt3
2023-02-03,1640,44010,fb,gpt3
2023-02-04,1259,45269,fb,gpt3
2023-02-05,1006,46275,fb,gpt3
2023-02-06,1658,47933,fb,gpt3
2023-02-07,2500,50433,fb,gpt3
2023-02-08,2214,52647,fb,gpt3
2023-02-09,2083,54730,fb,gpt3
2023-02-10,1808,56538,fb,gpt3
2023-02-11,1422,57960,fb,gpt3
2023-02-12,1224,59184,fb,gpt3
2023-02-13,1742,60926,fb,gpt3
2023-02-14,1812,62738,fb,gpt3
2023-02-15,1721,64459,fb,gpt3
2023-02-16,53,64512,fb,gpt3
