date,cumulative_unique_users,platform,topic
2022-11-25,46,fb,gpt3
2022-11-26,81,fb,gpt3
2022-11-27,130,fb,gpt3
2022-11-28,216,fb,gpt3
2022-11-29,268,fb,gpt3
2022-11-30,328,fb,gpt3
2022-12-01,398,fb,gpt3
2022-12-02,509,fb,gpt3
2022-12-03,603,fb,gpt3
2022-12-04,712,fb,gpt3
2022-12-05,866,fb,gpt3
2022-12-06,1114,fb,gpt3
2022-12-07,1294,fb,gpt3
2022-12-08,1519,fb,gpt3
2022-12-09,1728,fb,gpt3
2022-12-10,1901,fb,gpt3
2022-12-11,2052,fb,gpt3
2022-12-12,2287,fb,gpt3
2022-12-13,2497,fb,gpt3
2022-12-14,2687,fb,gpt3
2022-12-15,2873,fb,gpt3
2022-12-16,3055,fb,gpt3
2022-12-17,3172,fb,gpt3
2022-12-18,3278,fb,gpt3
2022-12-19,3494,fb,gpt3
2022-12-20,3644,fb,gpt3
2022-12-21,3808,fb,gpt3
2022-12-22,3999,fb,gpt3
2022-12-23,4132,fb,gpt3
2022-12-24,4304,fb,gpt3
2022-12-25,4377,fb,gpt3
2022-12-26,4495,fb,gpt3
2022-12-27,4602,fb,gpt3
2022-12-28,4721,fb,gpt3
2022-12-29,4828,fb,gpt3
2022-12-30,4936,fb,gpt3
2022-12-31,5049,fb,gpt3
2023-01-01,5175,fb,gpt3
2023-01-02,5307,fb,gpt3
2023-01-03,5490,fb,gpt3
2023-01-04,5681,fb,gpt3
2023-01-05,5869,fb,gpt3
2023-01-06,6116,fb,gpt3
2023-01-07,6308,fb,gpt3
2023-01-08,6441,fb,gpt3
2023-01-09,6790,fb,gpt3
2023-01-10,7079,fb,gpt3
2023-01-11,7355,fb,gpt3
2023-01-12,7631,fb,gpt3
2023-01-13,7903,fb,gpt3
2023-01-14,8132,fb,gpt3
2023-01-15,8314,fb,gpt3
2023-01-16,8595,fb,gpt3
2023-01-17,9021,fb,gpt3
2023-01-18,9410,fb,gpt3
2023-01-19,9799,fb,gpt3
2023-01-20,10141,fb,gpt3
2023-01-21,10338,fb,gpt3
2023-01-22,10554,fb,gpt3
2023-01-23,10926,fb,gpt3
2023-01-24,11373,fb,gpt3
2023-01-25,11783,fb,gpt3
2023-01-26,12190,fb,gpt3
2023-01-27,12606,fb,gpt3
2023-01-28,12889,fb,gpt3
